web_url,headline,pub_date
https://www.nytimes.com/2019/08/29/movies/hair-love.html,‘Hair Love’: 3 Men and a Little Girl (With a Lot of Curls),2019-08-29T19:41:48+0000
https://www.nytimes.com/2019/12/09/travel/ghana-african-slave-trade-jacqueline-woodson.html,"Jacqueline Woodson on Africa, America and Slavery’s Fierce Undertow",2019-12-09T10:00:19+0000
https://www.nytimes.com/interactive/2019/obituaries/alfred-hair-overlooked.html,"Alfred Hair, Whose Collective Created a Path for Black Artists",2019-02-01T00:28:50+0000
https://www.nytimes.com/2022/11/18/theater/michael-butler-dead.html,"Michael Butler, Who Brought ‘Hair’ to Broadway, Dies at 95",2022-11-18T16:23:05+0000
https://www.nytimes.com/2020/04/23/theater/musical-cast-album-hair.html,A Cast Album I Love: ‘Hair’,2020-04-23T18:18:19+0000
https://www.nytimes.com/2018/08/21/us/black-student-extensions-louisiana.html,Black Girl Sent Home From School Over Hair Extensions,2018-08-22T00:40:08+0000
https://www.nytimes.com/2014/04/30/us/hagel-seeks-review-of-military-policies-on-hairstyles.html,Hagel Seeks Review of Military Policies on Hairstyles,2014-04-30T00:30:10+0000
https://www.nytimes.com/2016/12/02/books/review/entanglement-emma-tarlo-hair-john-barrett.html,"Locks, Mops and Bouffants: Two Books on Hair",2016-12-02T16:15:22+0000
https://www.nytimes.com/2022/09/24/sports/football/nfl-locs-braids-black-hair.html,"For Dreadlocked N.F.L. Players, Hair Is a Point of Pride",2022-09-24T04:01:08+0000
https://www.nytimes.com/2020/06/25/nyregion/nyc-barber-shops-coronavirus.html,3 Long (Haired) Months: Barbershop Before-and-Afters,2020-06-25T14:53:45+0000
https://www.nytimes.com/2022/06/06/style/self-care/nikki-walton-curlynikki-hair-spirituality.html,"For Nikki Walton, Writing About Hair Was Just Step 1",2022-06-06T13:23:19+0000
https://www.nytimes.com/interactive/2019/08/14/magazine/african-american-poets.html,A New Literary Timeline of African-American History,2019-08-14T04:27:18+0000
https://www.nytimes.com/2021/08/17/arts/design/smithsonian-rare-photographs-black-daguerreotype.html,Smithsonian Acquires Rare Photographs From the First African American Studios,2021-08-17T16:20:45+0000
https://www.nytimes.com/2015/05/31/nyregion/brooklyn-hamlet-of-free-african-americans-was-ahead-of-its-time.html,Brooklyn Hamlet of Free African-Americans Was Ahead of Its Time,2015-05-29T20:46:41+0000
https://www.nytimes.com/2016/12/25/arts/design/smithsonian-museum-african-american-museum-history-culture-wesley-morris.html,"Visiting the African-American Museum: Waiting, Reading, Thinking, Connecting, Feeling",2016-12-25T21:19:37+0000
https://www.nytimes.com/2019/11/20/arts/design/baltimore-museum-artists.html,Meet the Artists in Mickalene Thomas’s Orbit,2019-11-20T15:00:10+0000
https://www.nytimes.com/2015/05/27/opinion/on-being-african-in-europe.html,On Being African in Europe,2015-05-26T09:56:58+0000
https://www.nytimes.com/2012/04/29/us/at-this-atlanta-barbershop-the-conversation-goes-on-24-7.html,"At This Atlanta Barbershop, the Conversation Goes on 24/7",2012-04-28T18:25:32+0000
https://dealbook.nytimes.com/2012/05/28/in-cambodia-a-start-up-uses-the-internet-to-sell-hair/,"In Cambodia, a Start-Up Combines Web Sales Skills and Hair Extensions",2012-05-28T17:45:36+0000
https://www.nytimes.com/2010/04/16/arts/design/16african.html,The Exotic in the Eyes of African Beholders,2010-04-15T21:02:58+0000
https://www.nytimes.com/2020/12/03/arts/design/john-edmonds-ghana-brooklyn-museum.html,John Edmonds and the Allure of Africa,2020-12-03T15:14:45+0000
https://www.nytimes.com/2018/04/02/fashion/braids-weaves-extensions-and-traction-alopecia.html,What Black Women Need to Know About Hair Loss,2018-04-02T18:02:16+0000
https://www.nytimes.com/2011/06/09/fashion/hair-care-for-african-americans.html,‘Going Natural’ Requires Lots of Help,2011-06-08T16:46:26+0000
https://www.nytimes.com/2018/09/13/us/african-americans-hurricane-florence-displacement.html,Hurricane Florence and the Displacement of African-Americans Along the Carolina Coast,2018-09-13T20:01:45+0000
https://www.nytimes.com/2015/11/25/insider/into-africa-new-west-africa-bureau-chief-makes-herself-at-home.html,Into Africa: New West Africa Bureau Chief Makes Herself at Home,2015-11-24T18:50:29+0000
https://www.nytimes.com/2016/08/14/fashion/an-african-city-sex-and-the-city.html,A ‘Sex and the City’ for African Viewers,2016-08-13T10:00:05+0000
https://www.nytimes.com/2013/06/16/nyregion/for-decades-cutting-hair-and-winning-fans.html,"For Decades, Cutting Hair and Winning Fans",2013-06-14T03:26:28+0000
https://www.nytimes.com/2018/06/12/arts/design/yinka-shonibare-exhibition-london.html,"It’s Time for African Resistance, This Artist Says",2018-06-12T11:37:11+0000
https://www.nytimes.com/2020/11/16/learning/should-schools-or-employers-be-allowed-to-tell-people-how-they-should-wear-their-hair.html,Should Schools or Employers Be Allowed to Tell People How They Should Wear Their Hair?,2020-11-16T10:00:05+0000
https://www.nytimes.com/2015/06/28/fashion/girls-ideal-hair-long-sleek-high-school-approved.html,"Hair That’s Long, Sleek, High School Approved",2015-06-26T09:45:15+0000
https://www.nytimes.com/2014/05/30/opinion/mutiga-pan-africanism-and-the-world-cup.html,Pan-Africanism and the World Cup,2014-05-29T10:48:45+0000
https://www.nytimes.com/2022/08/20/style/latisha-chong-dead.html,"Latisha Chong, Hair Stylist Who Helped Change Fashion, Dies at 32",2022-08-20T21:23:04+0000
https://www.nytimes.com/2019/02/23/style/sharon-dorram-color-sally-hershberger-hair-discrimination.html,Upper East Side Salon Under Investigation for Racial Discrimination,2019-02-23T12:55:15+0000
https://www.nytimes.com/2016/02/19/world/africa/with-a-boom-before-the-cameras-nigeria-redefines-african-life.html,Nigeria’s Booming Film Industry Redefines African Life,2016-02-18T10:00:28+0000
https://www.nytimes.com/2014/03/13/fashion/african-oils-exotic-and-in-demand.html,"African Oils, Exotic and in Demand",2014-03-12T23:12:23+0000
https://lens.blogs.nytimes.com/2015/05/26/blending-french-and-african-identities/,Blending French and African Identities,2015-05-26T07:00:52+0000
https://www.nytimes.com/2011/01/12/movies/12danger.html,Raw View of African Cure for Addiction to Drugs,2011-01-11T23:32:41+0000
https://www.nytimes.com/2016/06/12/fashion/prom-dresses-african-style.html,"Rocking It on Prom Night, African Style",2016-06-11T10:00:26+0000
https://www.nytimes.com/2013/01/01/world/africa/ruthless-smuggling-rings-put-rhinos-in-the-cross-hairs.html,"Coveting Horns, Ruthless Smugglers’ Rings Put Rhinos in the Cross Hairs",2012-12-31T16:53:17+0000
https://www.nytimes.com/2021/10/11/us/ohio-police-paraplegic-stop.html,"Police Officer Drags Man by Hair From Car. ‘I’m Paraplegic,’ He Protests.",2021-10-11T22:04:05+0000
https://www.nytimes.com/2020/06/17/us/delbert-africa-dead.html,"Delbert Africa, 74, Convicted in Radical Group’s Clash With Police, Dies",2020-06-17T23:20:48+0000
https://www.nytimes.com/2019/09/10/business/joan-johnson.html,"Joan Johnson, Whose Company Broke a Racial Barrier, Dies at 89",2019-09-10T21:40:56+0000
https://www.nytimes.com/2018/12/01/health/sickle-cell-hydroxyurea-africa.html,‘From Nothing to Gangbusters’: A Treatment for Sickle-Cell Disease Proves Effective in Africa,2018-12-01T15:30:04+0000
https://www.nytimes.com/2023/07/18/world/europe/putin-south-africa.html,South Africa Skirts Dilemma After Putin Cancels Visit,2023-07-18T19:18:08+0000
https://www.nytimes.com/2010/05/24/sports/soccer/24safrica.html,South Africa Pushes to Make the Cup Its Own,2010-05-24T01:51:24+0000
https://www.nytimes.com/2023/02/11/world/africa/aka-kiernan-forbes-rapper-dead.html,"AKA, Influential South African Rapper, Is Fatally Shot",2023-02-11T12:42:00+0000
https://www.nytimes.com/2014/09/24/t-magazine/bangs-beauty-trend.html,Fringe Benefits,2014-09-24T04:00:00+0000
https://www.nytimes.com/2020/06/11/science/jaguars-poaching-china.html,"Where Jaguars Are Killed, New Common Factor Emerges: Chinese Investment",2020-06-11T13:24:26+0000
https://www.nytimes.com/2023/09/06/style/pirelli-calendar-prince-gyasi.html,A Landmark Year for a Rare Calendar,2023-09-06T16:00:19+0000
https://www.nytimes.com/2016/08/14/books/review/teju-cole-known-and-strange-things.html,Teju Cole’s Essays Build Connections Between African and Western Art,2016-08-09T09:30:04+0000
https://www.nytimes.com/2022/12/24/world/africa/central-african-republic-russia-wagner.html,"Putin Wants Fealty, and He’s Found It in Africa",2022-12-24T10:00:51+0000
https://www.nytimes.com/interactive/2020/05/16/magazine/covid-quarantine-hair-braids.html,"When the World Unravels, Braid Your Own Hair",2020-05-16T09:00:01+0000
https://www.nytimes.com/2020/07/02/arts/music/keleketla-review.html,Coldcut + Tony Allen and African Artists = Studio Electricity,2020-07-02T18:13:54+0000
https://www.nytimes.com/2020/03/03/us/racist-Oklahoma-Christian-University-recruiter.html,Oklahoma College Recruiter Lined Up High School Students by Skin Color and Hair Type,2020-03-03T19:08:50+0000
https://www.nytimes.com/2023/02/10/opinion/trump-desantis-transgender-rights.html,There Is No Dignity in This Kind of America,2023-02-10T10:00:29+0000
https://www.nytimes.com/2020/07/04/style/black-in-america-through-a-camera.html,"Black in America, Through a Camera",2020-07-04T15:46:34+0000
https://www.nytimes.com/2019/09/20/world/africa/xenophobia-nigerians-south-africa.html,Anti-Immigrant Venom Killed Their South African Dreams,2019-09-20T09:00:21+0000
https://www.nytimes.com/2023/02/04/us/politics/isis-somalia-kabul-bombing.html,Ties to Kabul Bombing Put ISIS Leader in Somalia in U.S. Cross Hairs,2023-02-04T10:00:21+0000
https://www.nytimes.com/2020/12/02/arts/zanele-muholi-tate-modern.html,Zanele Muholi Walks In With the Ancestors,2020-12-02T10:00:33+0000
https://www.nytimes.com/2021/06/17/world/africa/kenneth-kaunda-dead.html,"Kenneth Kaunda, Patriarch of African Independence, Is Dead at 97",2021-06-17T17:52:35+0000
https://www.nytimes.com/2018/01/19/nyregion/refugee-elizabeth-congo-trump.html,"Leaving Africa, and Living in Limbo",2018-01-19T10:00:04+0000
https://www.nytimes.com/2013/06/28/business/media/on-the-concert-stage-bet-festival-offers-a-broad-brand-experience.html,"On the Concert Stage, BET Festival Offers a Broad Brand Experience",2013-06-28T01:51:25+0000
https://www.nytimes.com/2016/04/15/movies/barbershop-the-next-cut-review.html,Review: ‘Barbershop: The Next Cut’: Let the Debates Resume,2016-04-14T19:33:34+0000
https://www.nytimes.com/2019/08/09/arts/music/sho-madjozi.html,"Sho Madjozi’s Mixed Up, Pan-African Rap",2019-08-09T12:38:47+0000
https://www.nytimes.com/2017/10/18/obituaries/cornelia-bailey-champion-of-african-rooted-culture-in-coastal-georgia-dies-at-72.html,"Cornelia Bailey, Champion of African-Rooted Culture in Coastal Georgia, Dies at 72",2017-10-18T21:14:09+0000
https://www.nytimes.com/2020/08/10/t-magazine/sonya-clark-flags-art.html,The Artist Unraveling American History,2020-08-10T11:00:24+0000
https://www.nytimes.com/2022/12/28/world/africa/south-africa-black-teenagers-pool.html,White Men Charged in Attack on Black Teenagers at Pool in South Africa,2022-12-28T23:10:40+0000
https://www.nytimes.com/2018/05/15/style/serena-williams-beauty-routine.html,Serena Williams Has a Genius Eyebrow Hack,2018-05-15T09:00:01+0000
https://www.nytimes.com/2015/07/05/magazine/americas-postracial-fantasy.html,America’s ‘Postracial’ Fantasy,2015-06-30T11:00:05+0000
https://www.nytimes.com/paidpost/dorchester-collection/a-south-african-soprano-fuses-technique-with-raw-emotion.html,A South African Soprano Fuses Technique With Raw Emotion,2019-10-28T17:12:33+0000
https://www.nytimes.com/2016/12/13/travel/africa-road-trip-in-16-days.html,Seeing Africa by Road,2016-12-13T11:00:07+0000
https://www.nytimes.com/2019/05/20/arts/cannes-film-festival-black-director.html,The First Black Woman to Compete at Cannes Finds Her Voice in Africa,2019-05-20T17:58:50+0000
https://www.nytimes.com/2017/02/14/business/american-girls-new-doll-its-a-boy.html,American Girl’s New Doll: It’s a Boy!,2017-02-15T00:36:55+0000
https://www.nytimes.com/2017/08/03/world/africa/mali-stephen-mcgown-south-africa-al-qaeda.html,Hostage Held by Al Qaeda in Mali for 5 Years Is Freed,2017-08-03T13:29:52+0000
https://www.nytimes.com/2017/10/07/health/africa-cancer-drugs.html,"As Cancer Tears Through Africa, Drug Makers Draw Up a Battle Plan",2017-10-07T09:00:43+0000
https://www.nytimes.com/2016/06/24/arts/design/disguise-masks-and-global-african-art-where-tradition-meets-avant-garde.html,"‘Disguise: Masks and Global African Art,’ Where Tradition Meets Avant-Garde",2016-06-23T21:09:13+0000
https://www.nytimes.com/2020/09/28/us/bloom-cristina-martinez-sewtrill-art.html,Seeing Ourselves in Bloom,2020-09-28T09:00:15+0000
https://www.nytimes.com/2015/06/17/opinion/rachel-dolezals-unintended-gift-to-america.html,Rachel Dolezal’s Unintended Gift to America,2015-06-17T19:59:43+0000
https://www.nytimes.com/2019/05/08/world/africa/south-africa-1994-election-photos.html,The Day Apartheid Died: Photos of South Africa’s First Free Vote,2019-05-08T06:00:15+0000
https://www.nytimes.com/interactive/2020/02/06/world/africa/africa-independence-year.html,What Does Independence Look Like? Images From the Year of Africa,2020-02-07T00:26:17+0000
https://www.nytimes.com/2023/06/29/arts/design/africa-fashion-brooklyn-museum-music-photography.html,Africa Style: With Freedom Came Fashion Flair,2023-06-29T15:24:44+0000
https://www.nytimes.com/2020/02/28/world/americas/mexico-african-migrants-diaspora.html,"At a Bar ‘Made by Africans,’ Migrants Put Down Roots in Mexico",2020-02-28T17:59:47+0000
https://tmagazine.blogs.nytimes.com/2010/09/29/the-samurai-shopper-ancestor-worship/,The Samurai Shopper | Ancestor Worship,2010-09-29T14:00:59+0000
https://www.nytimes.com/2014/07/06/opinion/sunday/frank-bruni-is-joe-riley-of-charleston-the-most-loved-politician-in-america.html,Is Joe Riley of Charleston the Most Loved Politician in America?,2014-07-05T18:30:20+0000
https://www.nytimes.com/2023/11/30/arts/design/grace-wales-bonners-moma.html,Grace Wales Bonner Summons the Spirit Movers in Her MoMA Show,2023-11-30T10:03:53+0000
https://www.nytimes.com/2016/11/02/arts/design/kemang-wa-lehulere-constructs-a-history-from-south-africas-shadows.html,South Africa’s Rising Art Star Builds His New Stage in Chicago,2016-11-01T21:47:15+0000
https://www.nytimes.com/2020/07/01/magazine/isabel-wilkerson-caste.html,America’s Enduring Caste System,2020-07-01T09:00:09+0000
